title	type	url_slug	venue	date	location	talk_url	description
QML	Talk	talk-1	AI Dev Day	01-03-2020	"San Francisco, California"		Quantum Machine Learnig talk
Quantum Computing with Google Cirq	Talk	talk-2	Google DSC FAU	01-03-2020	Florida		Google cirq
